brand_id	name	domain	missing_role	available_role	original_cohort
kaspersky	Kaspersky	kaspersky.com	icon	logo	logo
renesas	Renesas	renesas.com	icon	logo	logo
hashicorp	HashiCorp	hashicorp.com	icon	logo	empty
smartsheet	Smartsheet	smartsheet.com	logo	icon	icon
canonical	Canonical	canonical.com	icon	logo	empty
asml	ASML	asml.com	icon	logo	empty
mollie	Mollie	mollie.com	icon	logo	empty
skyscanner	Skyscanner	skyscanner.net	logo	icon	empty
labelbox	Labelbox	labelbox.com	icon	logo	logo
zillow	Zillow	zillow.com	icon	logo	empty
c3-ai	C3 AI	c3.ai	logo	icon	empty
aqua-security	Aqua Security	aquasec.com	logo	icon	empty
afterpay	Afterpay	afterpay.com	icon	logo	empty
unity	Unity	unity.com	icon	logo	empty
coda	Coda	coda.io	logo	icon	icon
unreal-engine	Unreal Engine	unrealengine.com	logo	icon	icon
databricks	Databricks	databricks.com	logo	icon	icon
umc	UMC	umc.com	icon	logo	empty
sofi	SoFi	sofi.com	logo	icon	icon
freshworks	Freshworks	freshworks.com	logo	icon	icon
fiverr	Fiverr	fiverr.com	logo	icon	icon
intercom	Intercom	intercom.com	logo	icon	icon
duo-security	Duo Security	duo.com	logo	icon	icon
binance	Binance	binance.com	logo	icon	icon
upwork	Upwork	upwork.com	logo	icon	icon
beyondtrust	BeyondTrust	beyondtrust.com	logo	icon	icon
onsemi	onsemi	onsemi.com	logo	icon	icon
microchip-technology	Microchip Technology	microchip.com	logo	icon	icon
bitstamp	Bitstamp	bitstamp.net	logo	icon	icon
appian	Appian	appian.com	logo	icon	icon
seagate	Seagate	seagate.com	icon	logo	empty
circleci	CircleCI	circleci.com	logo	icon	icon
hpe	HPE	hpe.com	icon	logo	empty
raspberry-pi	Raspberry Pi	raspberrypi.com	logo	icon	icon
five9	Five9	five9.com	logo	icon	icon
jfrog	JFrog	jfrog.com	logo	icon	icon
ericsson	Ericsson	ericsson.com	logo	icon	icon
8x8	8x8	8x8.com	icon	logo	empty
ramp	Ramp	ramp.com	logo	icon	icon
the-pokemon-company	The Pokémon Company	pokemon.co.jp	logo	icon	icon
pvh	PVH Corp.	pvh.com	icon	logo	empty
